Transaction_ID,Date,Customer_ID,Product_ID,Quantity,Unit_Price,Total_Amount,Footfall_Count,Energy_Consumption,Month,Year
60,03-01-2023 11:00,12,77,1,164.07,164.07,41,48.79,1,2023
61,03-01-2023 12:00,39,29,1,125.1,125.1,57,47.79,1,2023
62,03-01-2023 13:00,130,72,1,58.59,58.59,52,48.4,1,2023
63,03-01-2023 14:00,131,11,1,23.6,23.6,42,45.51,1,2023
64,03-01-2023 15:00,113,47,2,76.14,152.28,47,46.67,1,2023
65,03-01-2023 16:00,101,45,1,66.96,66.96,47,37.73,1,2023
66,03-01-2023 17:00,113,18,1,113.02,113.02,49,41.43,1,2023
67,03-01-2023 18:00,184,50,1,52.74,52.74,50,37.65,1,2023
68,03-01-2023 19:00,81,89,1,178.61,178.61,55,29.94,1,2023
69,03-01-2023 20:00,187,49,1,115.63,115.63,42,24.92,1,2023
70,03-01-2023 21:00,113,22,1,44.37,44.37,37,24.69,1,2023
71,03-01-2023 22:00,2,45,1,66.48,66.48,43,25.14,1,2023
72,03-01-2023 23:00,130,61,1,89.23,89.23,42,21.58,1,2023
73,04-01-2023 00:00,54,99,1,24.26,24.26,40,22.79,1,2023
74,04-01-2023 01:00,87,93,1,160.16,160.16,19,20.4,1,2023
75,04-01-2023 02:00,129,21,1,125.57,125.57,35,20,1,2023
76,04-01-2023 03:00,147,71,2,160.86,321.72,30,28.92,1,2023
77,04-01-2023 04:00,126,61,1,90.23,90.23,30,28,1,2023
78,04-01-2023 05:00,130,76,2,152.08,304.16,25,35.38,1,2023
79,04-01-2023 06:00,53,36,1,161.45,161.45,30,39.96,1,2023
80,04-01-2023 07:00,172,24,1,85,85,34,43.97,1,2023
81,04-01-2023 08:00,160,32,1,51.09,51.09,41,47.34,1,2023
82,04-01-2023 09:00,198,91,1,41.08,41.08,50,45.8,1,2023
83,04-01-2023 10:00,160,96,1,105.53,105.53,57,47.93,1,2023
84,04-01-2023 11:00,68,59,1,27.99,27.99,51,48.07,1,2023
85,04-01-2023 12:00,183,96,1,108.46,108.46,61,48.22,1,2023
86,04-01-2023 13:00,184,96,3,110.47,331.41,64,46.8,1,2023
87,04-01-2023 14:00,123,90,1,107.39,107.39,44,50.03,1,2023
88,04-01-2023 15:00,145,75,1,147.64,147.64,37,50.15,1,2023
89,04-01-2023 16:00,38,82,1,133.34,133.34,50,45.54,1,2023
90,04-01-2023 17:00,24,5,1,49.1,49.1,52,37.2,1,2023
91,04-01-2023 18:00,69,16,2,52.81,105.62,46,39.88,1,2023
92,04-01-2023 19:00,116,11,1,23.97,23.97,42,31.52,1,2023
93,04-01-2023 20:00,98,35,1,188.31,188.31,43,28.55,1,2023
94,04-01-2023 21:00,198,75,1,145.57,145.57,41,26.71,1,2023
95,04-01-2023 22:00,139,42,1,112.87,112.87,34,28.07,1,2023
96,04-01-2023 23:00,144,87,1,154.43,154.43,28,24.71,1,2023
97,05-01-2023 00:00,97,98,1,98.58,98.58,30,17.48,1,2023
98,05-01-2023 01:00,124,81,1,172.25,172.25,31,23.75,1,2023
99,05-01-2023 02:00,187,10,1,142.96,142.96,34,24.92,1,2023
100,05-01-2023 03:00,70,82,1,129.66,129.66,19,26.76,1,2023
101,05-01-2023 04:00,93,8,1,176.27,176.27,29,28.15,1,2023
102,05-01-2023 05:00,3,26,1,163.04,163.04,34,29.16,1,2023
103,05-01-2023 06:00,148,3,1,156.57,156.57,33,36.48,1,2023
104,05-01-2023 07:00,187,59,1,27.46,27.46,39,39.33,1,2023
105,05-01-2023 08:00,164,88,1,133.23,133.23,46,42.54,1,2023
106,05-01-2023 09:00,147,3,1,156.72,156.72,40,44.95,1,2023
107,05-01-2023 10:00,90,38,1,36.39,36.39,54,49.14,1,2023
108,05-01-2023 11:00,195,2,1,191.97,191.97,62,53.38,1,2023
109,05-01-2023 12:00,147,99,1,23.63,23.63,52,53.91,1,2023
110,05-01-2023 13:00,148,17,1,74.24,74.24,46,57.2,1,2023
111,05-01-2023 14:00,96,73,1,21.82,21.82,68,50.2,1,2023
112,05-01-2023 15:00,199,36,5,167.33,836.65,46,48.3,1,2023
113,05-01-2023 16:00,52,86,1,80.61,80.61,42,47.2,1,2023
114,05-01-2023 17:00,161,95,1,160.5,160.5,47,42.95,1,2023
115,05-01-2023 18:00,168,98,1,97.99,97.99,53,37.87,1,2023
116,05-01-2023 19:00,128,88,1,130.36,130.36,45,35.78,1,2023
117,05-01-2023 20:00,39,73,1,21.86,21.86,30,28.55,1,2023
118,05-01-2023 21:00,82,2,1,197.36,197.36,35,28.53,1,2023
119,05-01-2023 22:00,104,85,1,74.85,74.85,38,22.81,1,2023
120,05-01-2023 23:00,129,34,1,196.64,196.64,31,21.77,1,2023
121,06-01-2023 00:00,11,27,1,57.13,57.13,34,22.14,1,2023
122,06-01-2023 01:00,185,37,1,75.81,75.81,28,20.06,1,2023
123,06-01-2023 02:00,178,71,1,159.68,159.68,33,24.92,1,2023
124,06-01-2023 03:00,151,22,1,45.02,45.02,28,26.08,1,2023
125,06-01-2023 04:00,159,68,1,170.12,170.12,25,33.74,1,2023
126,06-01-2023 05:00,42,14,1,58.38,58.38,24,31.62,1,2023
127,06-01-2023 06:00,99,98,1,97.88,97.88,24,35.97,1,2023
128,06-01-2023 07:00,7,23,1,75,75,40,46.07,1,2023
129,06-01-2023 08:00,144,44,1,187.95,187.95,44,44.02,1,2023
130,06-01-2023 09:00,90,89,1,175.26,175.26,48,51.21,1,2023
131,06-01-2023 10:00,112,65,2,69.75,139.5,55,49.63,1,2023
132,06-01-2023 11:00,60,79,2,83.13,166.26,43,48.61,1,2023
133,06-01-2023 12:00,113,96,1,109.85,109.85,55,53.91,1,2023
134,06-01-2023 13:00,2,78,1,33.01,33.01,50,50.19,1,2023
135,06-01-2023 14:00,129,61,1,89.27,89.27,52,49.44,1,2023
136,06-01-2023 15:00,48,85,1,75.62,75.62,52,50.68,1,2023
137,06-01-2023 16:00,140,55,1,128.57,128.57,39,46.25,1,2023
138,06-01-2023 17:00,197,71,1,158.17,158.17,49,46.46,1,2023
139,06-01-2023 18:00,37,100,1,40.18,40.18,35,37.68,1,2023
140,06-01-2023 19:00,160,85,2,74.32,148.64,34,28.41,1,2023
141,06-01-2023 20:00,9,50,1,51.69,51.69,44,26.2,1,2023
142,06-01-2023 21:00,99,12,1,192.04,192.04,41,25.96,1,2023
143,06-01-2023 22:00,147,79,1,82.8,82.8,34,23.84,1,2023
144,06-01-2023 23:00,48,15,1,52.79,52.79,37,25.54,1,2023
145,07-01-2023 00:00,131,17,1,74.16,74.16,53,23.04,1,2023
146,07-01-2023 01:00,148,34,1,185.84,185.84,57,18.38,1,2023
147,07-01-2023 02:00,152,35,1,188.7,188.7,49,26.49,1,2023
148,07-01-2023 03:00,54,39,1,143.68,143.68,52,26.04,1,2023
149,07-01-2023 04:00,120,78,1,33.93,33.93,43,28.75,1,2023
150,07-01-2023 05:00,161,55,1,125.82,125.82,48,32.95,1,2023
151,07-01-2023 06:00,152,59,1,28.09,28.09,42,37.15,1,2023
152,07-01-2023 07:00,116,5,1,47.46,47.46,63,42.1,1,2023
153,07-01-2023 08:00,75,30,2,28.27,56.54,80,44.94,1,2023
154,07-01-2023 09:00,113,4,2,132.26,264.52,88,42.34,1,2023
155,07-01-2023 10:00,200,15,3,55.37,166.11,76,52.27,1,2023
156,07-01-2023 11:00,164,35,3,192.08,576.24,83,50.38,1,2023
157,07-01-2023 12:00,166,74,1,165.07,165.07,91,56.18,1,2023
158,07-01-2023 13:00,104,55,5,128.72,643.6,90,49.87,1,2023
159,07-01-2023 14:00,84,66,4,117.97,471.88,88,51.75,1,2023
160,07-01-2023 15:00,112,60,1,79.63,79.63,91,48.32,1,2023
161,07-01-2023 16:00,99,24,4,85.74,342.96,78,45.16,1,2023
162,07-01-2023 17:00,153,92,1,147.84,147.84,83,45.78,1,2023
163,07-01-2023 18:00,93,22,2,45.51,91.02,82,38.7,1,2023
164,07-01-2023 19:00,146,44,1,184.57,184.57,64,32.76,1,2023
165,07-01-2023 20:00,128,32,2,50.2,100.4,57,29.14,1,2023
166,07-01-2023 21:00,110,95,1,159.16,159.16,53,29.5,1,2023
167,07-01-2023 22:00,82,83,1,79.76,79.76,66,25.15,1,2023
168,07-01-2023 23:00,194,51,1,183.8,183.8,63,26.36,1,2023
169,08-01-2023 00:00,54,85,1,75.89,75.89,56,21.37,1,2023
170,08-01-2023 01:00,163,3,1,154.5,154.5,58,24.54,1,2023
171,08-01-2023 02:00,189,70,1,195.91,195.91,47,23.46,1,2023
172,08-01-2023 03:00,169,32,1,49.94,49.94,40,27.54,1,2023
173,08-01-2023 04:00,161,2,1,188.3,188.3,55,31.31,1,2023
174,08-01-2023 05:00,68,88,1,135.65,135.65,47,35.75,1,2023
175,08-01-2023 06:00,33,59,1,27.58,27.58,47,38.72,1,2023
176,08-01-2023 07:00,142,91,1,41.73,41.73,54,40.09,1,2023
177,08-01-2023 08:00,21,73,1,21.06,21.06,72,45.48,1,2023
178,08-01-2023 09:00,48,77,3,154.59,463.77,70,44.44,1,2023
179,08-01-2023 10:00,148,14,2,59.32,118.64,80,56.55,1,2023
180,08-01-2023 11:00,128,51,2,199.4,398.8,79,52.53,1,2023
181,08-01-2023 12:00,136,11,2,23.83,47.66,86,53.97,1,2023
182,08-01-2023 13:00,135,78,3,33.36,100.08,88,49.78,1,2023
183,08-01-2023 14:00,195,80,4,40.45,161.8,83,50.8,1,2023
184,08-01-2023 15:00,145,10,1,146.09,146.09,83,52.72,1,2023
185,08-01-2023 16:00,128,84,1,31.17,31.17,78,46.75,1,2023
186,08-01-2023 17:00,33,80,1,41.47,41.47,81,42.11,1,2023
187,08-01-2023 18:00,176,58,4,55.91,223.64,66,36.02,1,2023
188,08-01-2023 19:00,187,34,1,183.28,183.28,76,31.86,1,2023
189,08-01-2023 20:00,115,80,3,39.65,118.95,62,27.22,1,2023
190,08-01-2023 21:00,119,78,1,32.78,32.78,56,27.46,1,2023
191,08-01-2023 22:00,22,53,1,187.35,187.35,57,24.51,1,2023
192,08-01-2023 23:00,158,28,1,113.53,113.53,58,25.28,1,2023
193,09-01-2023 00:00,38,18,1,113.23,113.23,40,22.72,1,2023
194,09-01-2023 01:00,109,26,1,162.68,162.68,28,26.13,1,2023
195,09-01-2023 02:00,51,7,1,31.43,31.43,32,25.23,1,2023
196,09-01-2023 03:00,182,45,1,65.8,65.8,34,26.01,1,2023
197,09-01-2023 04:00,8,98,1,95.19,95.19,28,27.78,1,2023
198,09-01-2023 05:00,27,45,1,65.08,65.08,37,35.62,1,2023
199,09-01-2023 06:00,27,71,1,155.71,155.71,32,39.17,1,2023
200,09-01-2023 07:00,21,97,1,115.35,115.35,38,43.22,1,2023
201,09-01-2023 08:00,30,35,1,196.75,196.75,47,41.13,1,2023
202,09-01-2023 09:00,97,52,1,161.52,161.52,55,46.75,1,2023
203,09-01-2023 10:00,28,21,1,127.4,127.4,41,51.89,1,2023
204,09-01-2023 11:00,111,28,1,111.7,111.7,59,50.45,1,2023
205,09-01-2023 12:00,192,96,1,108.05,108.05,50,50.43,1,2023
206,09-01-2023 13:00,197,44,2,189.99,379.98,66,52.2,1,2023
207,09-01-2023 14:00,61,80,1,41.1,41.1,56,52.47,1,2023
208,09-01-2023 15:00,48,56,1,186.35,186.35,55,47.74,1,2023
209,09-01-2023 16:00,147,10,1,148.27,148.27,47,43.96,1,2023
210,09-01-2023 17:00,4,23,1,71.97,71.97,51,45.82,1,2023
211,09-01-2023 18:00,35,48,1,114.53,114.53,43,37.24,1,2023
212,09-01-2023 19:00,192,52,2,157.99,315.98,51,29.39,1,2023
213,09-01-2023 20:00,49,15,1,54.24,54.24,39,37.41,1,2023
214,09-01-2023 21:00,17,55,1,125.4,125.4,40,30.69,1,2023
215,09-01-2023 22:00,172,43,1,26.29,26.29,37,24.46,1,2023
216,09-01-2023 23:00,158,50,1,53.98,53.98,37,22.79,1,2023
217,10-01-2023 00:00,46,6,2,48,96,33,22.07,1,2023
218,10-01-2023 01:00,117,33,1,31.79,31.79,34,25.36,1,2023
219,10-01-2023 02:00,6,62,1,68.56,68.56,30,23.81,1,2023
220,10-01-2023 03:00,99,55,1,125.29,125.29,29,29.82,1,2023
221,10-01-2023 04:00,124,39,1,148.12,148.12,29,29.8,1,2023
222,10-01-2023 05:00,37,12,1,193.18,193.18,24,35.05,1,2023
223,10-01-2023 06:00,24,100,1,38.39,38.39,23,41.31,1,2023
224,10-01-2023 07:00,93,31,1,127.49,127.49,28,43.42,1,2023
225,10-01-2023 08:00,46,74,3,171.21,513.63,48,51.15,1,2023
226,10-01-2023 09:00,181,53,2,197.72,395.44,55,46.84,1,2023
227,10-01-2023 10:00,95,34,1,192.22,192.22,43,49.33,1,2023
228,10-01-2023 11:00,99,41,3,42.63,127.89,61,51.89,1,2023
229,10-01-2023 12:00,188,10,2,152.9,305.8,50,52.92,1,2023
230,10-01-2023 13:00,116,52,1,156.45,156.45,50,55.87,1,2023
231,10-01-2023 14:00,191,75,1,148.39,148.39,55,53.76,1,2023
232,10-01-2023 15:00,160,57,1,37.24,37.24,48,49.27,1,2023
233,10-01-2023 16:00,161,78,1,33.89,33.89,48,43.72,1,2023
234,10-01-2023 17:00,67,3,1,150.93,150.93,47,43.81,1,2023
235,10-01-2023 18:00,128,57,1,36.19,36.19,52,38.45,1,2023
236,10-01-2023 19:00,18,33,1,32.89,32.89,42,33.11,1,2023
237,10-01-2023 20:00,25,7,1,30.55,30.55,41,30.63,1,2023
238,10-01-2023 21:00,54,4,1,125.4,125.4,42,32.09,1,2023
239,10-01-2023 22:00,58,39,1,144.91,144.91,31,24.47,1,2023
240,10-01-2023 23:00,67,48,2,111.56,223.12,36,23.79,1,2023
241,11-01-2023 00:00,104,74,1,164.33,164.33,28,22.91,1,2023
242,11-01-2023 01:00,174,79,1,83.73,83.73,36,22.34,1,2023
243,11-01-2023 02:00,24,16,1,52.99,52.99,24,24.73,1,2023
244,11-01-2023 03:00,114,38,1,36.94,36.94,28,30.3,1,2023
245,11-01-2023 04:00,32,4,1,128.81,128.81,31,32.05,1,2023
246,11-01-2023 05:00,175,4,1,126.87,126.87,23,33,1,2023
247,11-01-2023 06:00,86,100,1,40.07,40.07,30,38.02,1,2023
248,11-01-2023 07:00,151,27,2,55.99,111.98,36,46.85,1,2023
249,11-01-2023 08:00,194,86,1,78.29,78.29,48,47.41,1,2023
250,11-01-2023 09:00,127,86,1,78.35,78.35,57,46.74,1,2023
251,11-01-2023 10:00,155,17,1,76.94,76.94,52,52.03,1,2023
252,11-01-2023 11:00,130,98,1,98.67,98.67,48,48.53,1,2023
253,11-01-2023 12:00,17,96,2,105.77,211.54,50,51.36,1,2023
254,11-01-2023 13:00,104,70,1,195.67,195.67,53,49.06,1,2023
255,11-01-2023 14:00,161,54,1,181.42,181.42,53,48.72,1,2023
256,11-01-2023 15:00,137,97,1,109.12,109.12,52,51.35,1,2023
257,11-01-2023 16:00,43,8,1,177.42,177.42,53,46.97,1,2023
258,11-01-2023 17:00,176,53,1,185.9,185.9,44,42.49,1,2023
259,11-01-2023 18:00,39,100,1,38.84,38.84,41,38.78,1,2023
260,11-01-2023 19:00,170,5,1,47.41,47.41,32,31.6,1,2023
261,11-01-2023 20:00,26,69,1,34.26,34.26,40,30.13,1,2023
262,11-01-2023 21:00,99,47,1,77.04,77.04,38,27.31,1,2023
263,11-01-2023 22:00,50,74,1,165.28,165.28,42,22.99,1,2023
264,11-01-2023 23:00,153,40,1,98.11,98.11,31,27.03,1,2023
265,12-01-2023 00:00,152,7,1,30.56,30.56,25,22.55,1,2023
266,12-01-2023 01:00,13,12,2,200.79,401.58,36,22.89,1,2023
267,12-01-2023 02:00,60,94,1,120.41,120.41,34,28.45,1,2023
268,12-01-2023 03:00,135,25,1,98.29,98.29,29,27.65,1,2023
269,12-01-2023 04:00,57,28,1,112.94,112.94,31,31.24,1,2023
270,12-01-2023 05:00,36,43,1,26.33,26.33,29,37.67,1,2023
271,12-01-2023 06:00,173,77,1,160,160,37,36.2,1,2023
272,12-01-2023 07:00,20,47,1,76.05,76.05,42,44.65,1,2023
273,12-01-2023 08:00,65,49,3,118.73,356.19,38,46.95,1,2023
274,12-01-2023 09:00,8,86,1,76.99,76.99,49,52.22,1,2023
275,12-01-2023 10:00,144,54,1,185.02,185.02,56,52.36,1,2023
276,12-01-2023 11:00,142,18,1,113.26,113.26,46,54.87,1,2023
277,12-01-2023 12:00,115,27,3,55.65,166.95,52,52.69,1,2023
278,12-01-2023 13:00,143,72,1,56.21,56.21,65,50.72,1,2023
279,12-01-2023 14:00,92,6,1,48.28,48.28,56,53.48,1,2023
280,12-01-2023 15:00,98,75,1,151.87,151.87,49,45.19,1,2023
281,12-01-2023 16:00,66,93,1,161.05,161.05,52,49.46,1,2023
282,12-01-2023 17:00,32,69,2,33.09,66.18,50,39.47,1,2023
283,12-01-2023 18:00,191,71,2,165.29,330.58,57,40.02,1,2023
284,12-01-2023 19:00,86,22,2,45.97,91.94,44,38.59,1,2023
285,12-01-2023 20:00,51,59,1,28.21,28.21,38,28.18,1,2023
286,12-01-2023 21:00,153,47,1,75.1,75.1,40,28.48,1,2023
287,12-01-2023 22:00,186,68,1,164.19,164.19,37,26.99,1,2023
288,12-01-2023 23:00,63,32,1,48.75,48.75,34,27.95,1,2023
289,13-01-2023 00:00,190,83,1,80.42,80.42,35,24.95,1,2023
290,13-01-2023 01:00,125,97,1,111.08,111.08,33,25.31,1,2023
291,13-01-2023 02:00,150,1,1,88.27,88.27,26,22.82,1,2023
292,13-01-2023 03:00,58,54,1,179.34,179.34,32,34.88,1,2023
293,13-01-2023 04:00,58,46,1,139.61,139.61,26,28.6,1,2023
294,13-01-2023 05:00,86,41,1,41.45,41.45,27,35.69,1,2023
295,13-01-2023 06:00,49,41,1,41.36,41.36,21,38.03,1,2023
296,13-01-2023 07:00,180,8,1,178.49,178.49,39,44.97,1,2023
297,13-01-2023 08:00,170,32,1,50.06,50.06,45,48.05,1,2023
298,13-01-2023 09:00,70,30,2,27.85,55.7,41,46.48,1,2023
299,13-01-2023 10:00,15,46,2,136.33,272.66,42,52.63,1,2023
300,13-01-2023 11:00,54,92,3,150.92,452.76,51,53.33,1,2023
301,13-01-2023 12:00,188,52,2,155.95,311.9,51,54.03,1,2023
302,13-01-2023 13:00,101,96,1,108.89,108.89,50,52.22,1,2023
303,13-01-2023 14:00,8,89,1,187.65,187.65,47,49.42,1,2023
304,13-01-2023 15:00,53,98,1,95.63,95.63,48,51.24,1,2023
305,13-01-2023 16:00,60,61,2,88.55,177.1,59,44.7,1,2023
306,13-01-2023 17:00,108,97,4,116.57,466.28,54,44.4,1,2023
307,13-01-2023 18:00,5,13,2,165.81,331.62,41,36.74,1,2023
308,13-01-2023 19:00,103,89,1,183.6,183.6,38,34.75,1,2023
309,13-01-2023 20:00,196,40,1,98.47,98.47,27,29.63,1,2023
310,13-01-2023 21:00,6,61,1,91.58,91.58,34,28.35,1,2023
311,13-01-2023 22:00,109,44,1,185.29,185.29,42,23.28,1,2023
312,13-01-2023 23:00,116,62,1,69.63,69.63,27,27.53,1,2023
313,14-01-2023 00:00,94,44,1,182.05,182.05,51,25.21,1,2023
314,14-01-2023 01:00,47,48,1,112.72,112.72,45,26.83,1,2023
315,14-01-2023 02:00,99,74,1,165.04,165.04,51,27.85,1,2023
316,14-01-2023 03:00,55,59,1,28.89,28.89,47,34.06,1,2023
317,14-01-2023 04:00,168,57,1,35.93,35.93,43,29.6,1,2023
318,14-01-2023 05:00,52,95,1,164.96,164.96,60,36.95,1,2023
319,14-01-2023 06:00,144,11,1,23.82,23.82,48,37.94,1,2023
320,14-01-2023 07:00,13,25,1,101.71,101.71,68,41.77,1,2023
321,14-01-2023 08:00,114,61,1,89.57,89.57,79,50.09,1,2023
322,14-01-2023 09:00,124,46,3,137.31,411.93,84,52.29,1,2023
323,14-01-2023 10:00,106,54,1,181.88,181.88,78,55.15,1,2023
324,14-01-2023 11:00,158,34,2,190.46,380.92,78,52.86,1,2023
325,14-01-2023 12:00,147,84,4,31.05,124.2,89,53.1,1,2023
326,14-01-2023 13:00,145,7,2,30.42,60.84,87,54.81,1,2023
327,14-01-2023 14:00,120,97,3,112.95,338.85,88,52.97,1,2023
328,14-01-2023 15:00,63,62,3,69.24,207.72,83,48.91,1,2023
329,14-01-2023 16:00,19,57,3,36.44,109.32,77,46.9,1,2023
330,14-01-2023 17:00,92,99,1,24.27,24.27,77,42.61,1,2023
331,14-01-2023 18:00,58,93,1,155.51,155.51,72,39.05,1,2023
332,14-01-2023 19:00,183,76,1,148.49,148.49,64,37.13,1,2023
333,14-01-2023 20:00,90,5,1,49.17,49.17,58,31.83,1,2023
334,14-01-2023 21:00,117,76,1,145.85,145.85,60,26.03,1,2023
335,14-01-2023 22:00,62,93,1,154.87,154.87,60,24.18,1,2023
336,14-01-2023 23:00,23,35,1,196.56,196.56,58,28.27,1,2023
337,15-01-2023 00:00,127,84,1,31.04,31.04,53,26.5,1,2023
338,15-01-2023 01:00,137,37,1,73.83,73.83,43,24.2,1,2023
339,15-01-2023 02:00,140,60,1,79.62,79.62,49,25.58,1,2023
340,15-01-2023 03:00,129,65,1,67.37,67.37,45,30.81,1,2023
341,15-01-2023 04:00,58,16,1,53.04,53.04,51,29.74,1,2023
342,15-01-2023 05:00,122,30,1,28.05,28.05,47,34.53,1,2023
343,15-01-2023 06:00,1,73,1,20.77,20.77,47,36.18,1,2023
344,15-01-2023 07:00,34,42,1,111.46,111.46,67,46.62,1,2023
345,15-01-2023 08:00,96,61,2,89.92,179.84,69,44.88,1,2023
346,15-01-2023 09:00,126,74,2,162.93,325.86,83,51.53,1,2023
347,15-01-2023 10:00,118,77,1,154.13,154.13,91,49.65,1,2023
348,15-01-2023 11:00,48,48,2,113.47,226.94,75,58.03,1,2023
349,15-01-2023 12:00,89,62,1,66.94,66.94,81,57.19,1,2023
350,15-01-2023 13:00,117,84,3,32.2,96.6,84,60.19,1,2023
351,15-01-2023 14:00,129,93,1,153.48,153.48,87,52.2,1,2023
352,15-01-2023 15:00,16,64,3,84.2,252.6,81,50.48,1,2023
353,15-01-2023 16:00,189,57,3,34.53,103.59,76,52.1,1,2023
354,15-01-2023 17:00,192,68,2,158.17,316.34,71,44.54,1,2023
355,15-01-2023 18:00,191,46,2,138.67,277.34,74,36.89,1,2023
356,15-01-2023 19:00,69,28,1,119.76,119.76,66,40.04,1,2023
357,15-01-2023 20:00,22,77,1,157.04,157.04,61,32.46,1,2023
358,15-01-2023 21:00,93,3,3,153.86,461.58,65,33.06,1,2023
359,15-01-2023 22:00,195,37,1,74.09,74.09,60,26.89,1,2023
360,15-01-2023 23:00,76,48,1,115.92,115.92,50,33.12,1,2023
361,16-01-2023 00:00,154,19,1,97.57,97.57,43,26.48,1,2023
362,16-01-2023 01:00,144,92,1,144.68,144.68,19,28.74,1,2023
363,16-01-2023 02:00,179,83,1,79.16,79.16,33,27.2,1,2023
364,16-01-2023 03:00,86,17,1,72.1,72.1,30,28.22,1,2023
365,16-01-2023 04:00,185,82,1,129.84,129.84,29,28.44,1,2023
